 We force_max Ec El
27 5 89.98093006544414 5000.0 1000.0
28 5 96.49144348103164 6000.0 1200.0
29 5 102.59761544214535 7000.0 1400.0
30 5 108.02239443665248 8000.0 1600.0
31 5 113.41060775666588 9000.0 1800.0
0 10 3.328117017414674 0.1 0.01
1 10 3.418792005377117 0.5 0.05
2 10 3.484580651534688 1.0 0.1
3 10 4.234127698767599 5.0 0.5
4 10 15.809603030270974 150.0 15.0
5 10 5.157386339787281 10.0 1.0
6 10 6.689497957043899 20.0 2.0
7 10 7.862605613807865 30.0 3.0
8 10 8.984462190419185 40.0 4.0
9 10 9.80842186364304 50.0 5.0
10 10 10.605770399095324 60.0 6.0
11 10 11.402626135699975 70.0 7.0
12 10 12.027224035118431 80.0 8.0
13 10 12.657513761226838 90.0 9.0
14 10 13.237759764359277 100.0 10.0
15 10 17.902938615141778 200.0 20.0
16 10 21.324726837512586 300.0 30.0
17 10 24.139036992431084 400.0 40.0
18 10 26.60771281959313 500.0 50.0
19 10 28.638586150528045 600.0 60.0
20 10 30.579449771944443 700.0 70.0
21 10 32.39334377027123 800.0 80.0
22 10 33.928900051472795 900.0 90.0
23 10 35.58447749201246 1000.0 100.0
24 10 47.16107591208955 2000.0 200.0
25 10 55.57408412361672 3000.0 300.0
26 10 62.43586455778941 4000.0 400.0
27 10 68.30344795682683 5000.0 500.0
28 10 73.62328543673269 6000.0 600.0
29 10 78.25899491642751 7000.0 700.0
30 10 82.56241013317072 8000.0 800.0
31 10 86.30243306737012 9000.0 900.0
0 20 3.1955541274043933 0.1 0.005
1 20 3.259617977595226 0.5 0.025
2 20 3.284011520552529 1.0 0.05
3 20 3.5814156250923794 5.0 0.25
4 20 11.630274563358928 150.0 7.5
5 20 4.06066250440467 10.0 0.5
6 20 5.030244237100833 20.0 1.0
7 20 5.873915864229582 30.0 1.5
8 20 6.603750957557634 40.0 2.0
9 20 7.233547884818461 50.0 2.5
10 20 7.83550167718866 60.0 3.0
