t pforce betaMax vBeta Hmax vH
6.40000e-01 2.98338e+00 1.35787e+00 9.70755e-01 1.40237e+00 -9.09827e-01
6.50000e-01 2.95759e+00 1.36746e+00 9.46992e-01 1.39329e+00 -9.06398e-01
6.60000e-01 2.91227e+00 1.37697e+00 9.39861e-01 1.38423e+00 -9.04557e-01
6.70000e-01 2.91590e+00 1.38636e+00 9.29625e-01 1.37520e+00 -9.01787e-01
6.80000e-01 2.93217e+00 1.39562e+00 9.27431e-01 1.36619e+00 -8.99513e-01
6.90000e-01 2.81265e+00 1.40477e+00 9.03082e-01 1.35721e+00 -8.96967e-01
7.00000e-01 2.87776e+00 1.41384e+00 8.95354e-01 1.34825e+00 -8.94455e-01
7.10000e-01 2.86032e+00 1.42279e+00 8.91239e-01 1.33932e+00 -8.92019e-01
7.20000e-01 2.89246e+00 1.43162e+00 8.82429e-01 1.33042e+00 -8.88961e-01
7.30000e-01 2.85308e+00 1.44036e+00 8.59571e-01 1.32154e+00 -8.85466e-01
7.40000e-01 2.82848e+00 1.44901e+00 8.53768e-01 1.31269e+00 -8.83587e-01
7.50000e-01 2.71596e+00 1.45755e+00 8.51754e-01 1.30387e+00 -8.81131e-01
7.60000e-01 2.67763e+00 1.46598e+00 8.45599e-01 1.29507e+00 -8.78016e-01
7.70000e-01 2.73170e+00 1.47433e+00 8.25451e-01 1.28631e+00 -8.75408e-01
7.80000e-01 2.82480e+00 1.48260e+00 8.19636e-01 1.27757e+00 -8.72322e-01
7.90000e-01 2.71097e+00 1.49076e+00 8.15041e-01 1.26886e+00 -8.68618e-01
8.00000e-01 2.71572e+00 1.49882e+00 8.07493e-01 1.26019e+00 -8.66188e-01
8.10000e-01 2.73835e+00 1.50681e+00 7.90190e-01 1.25154e+00 -8.62863e-01
8.20000e-01 2.58629e+00 1.51471e+00 7.82761e-01 1.24291e+00 -8.60652e-01
8.30000e-01 2.67853e+00 1.52252e+00 7.78413e-01 1.23432e+00 -8.57939e-01
8.40000e-01 2.62933e+00 1.53023e+00 7.71546e-01 1.22576e+00 -8.54816e-01
8.50000e-01 2.60124e+00 1.53786e+00 7.54476e-01 1.21723e+00 -8.51807e-01
8.60000e-01 2.58686e+00 1.54542e+00 7.49348e-01 1.20872e+00 -8.48834e-01
8.70000e-01 2.53367e+00 1.55289e+00 7.45188e-01 1.20025e+00 -8.46651e-01
8.80000e-01 2.53821e+00 1.56027e+00 7.38400e-01 1.19181e+00 -8.42765e-01
